iter	RMSE
0	11.14780201
1	11.10346144
2	11.04957959
3	11.00295077
4	10.95845169
5	10.91557911
6	10.86745897
7	10.8288774
8	10.78596349
9	10.73510908
10	10.68903015
11	10.63673267
12	10.59215118
13	10.54746711
14	10.50492749
15	10.46952221
16	10.43194154
17	10.39847052
18	10.36358437
19	10.32021213
20	10.28404338
21	10.25225332
22	10.21321576
23	10.17116689
24	10.13176154
25	10.09052584
26	10.04628968
27	10.00947147
28	9.979282684
29	9.945722023
30	9.903250055
31	9.871496562
32	9.834468568
33	9.797969485
34	9.750082132
35	9.719475107
36	9.679767106
37	9.651064977
38	9.616910954
39	9.588643069
40	9.554852458
41	9.523101007
42	9.488914849
43	9.451450567
44	9.420736664
45	9.391205761
46	9.34913652
47	9.318194265
48	9.291696994
49	9.263666151
50	9.227723122
51	9.200867503
52	9.176779338
53	9.146919573
54	9.115346265
55	9.089751872
56	9.052862152
57	9.029253167
58	9.004021305
59	8.978249115
60	8.952347569
61	8.92171117
62	8.900341675
63	8.872090924
64	8.843169136
65	8.81355178
66	8.782087669
67	8.752561284
68	8.726403544
69	8.705400052
70	8.681909772
71	8.651798204
72	8.626001092
73	8.603702096
74	8.591751754
75	8.573269246
76	8.543598779
77	8.531719503
78	8.51148274
79	8.493483524
80	8.469467042
81	8.443521121
82	8.42320793
83	8.403605287
84	8.382232119
85	8.354749023
86	8.329047311
87	8.310448636
88	8.294540967
89	8.270678533
90	8.250713485
91	8.23200276
92	8.217017223
93	8.202871934
94	8.177236702
95	8.1603173
96	8.140740948
97	8.123776519
98	8.102679514
99	8.082129654
100	8.061008439
101	8.037885162
102	8.019766663
103	7.997961742
104	7.987543184
105	7.970235535
106	7.95217041
107	7.92583489
108	7.905842851
109	7.888009324
110	7.871079091
111	7.855157144
112	7.844566153
113	7.818533333
114	7.809602751
115	7.782593631
116	7.763999183
117	7.750114757
118	7.730295291
119	7.712705547
120	7.696412818
121	7.676649821
122	7.650302405
123	7.629882236
124	7.613364078
125	7.595750184
126	7.573848851
127	7.561743093
128	7.548091328
129	7.525034881
130	7.508383269
131	7.489483393
132	7.479686132
133	7.466036498
134	7.455871826
135	7.446420688
136	7.432938111
137	7.420220812
138	7.401228398
139	7.384490906
140	7.370136755
141	7.358976601
142	7.344704967
143	7.332353203
144	7.313577263
145	7.296511475
146	7.284447994
147	7.268792194
148	7.251712688
149	7.237358468
150	7.213006928
151	7.192251556
152	7.180239704
153	7.165691056
154	7.153747345
155	7.140323638
156	7.129787355
157	7.113837588
158	7.098340767
159	7.09069696
160	7.077075827
161	7.06425708
162	7.051221908
163	7.044429119
164	7.027441525
165	7.01799197
166	7.009507895
167	6.997979698
168	6.988272932
169	6.972374597
170	6.961048849
171	6.947905368
172	6.932475207
173	6.926235341
174	6.919853984
175	6.911104892
176	6.900390898
177	6.889718925
178	6.871623605
179	6.863658068
180	6.857467247
181	6.849039483
182	6.836418117
183	6.829899946
184	6.81971937
185	6.812847434
186	6.802930779
187	6.797273888
188	6.790171208
189	6.784015256
190	6.773250083
191	6.767344346
192	6.757857906
193	6.745930738
194	6.729255401
195	6.718362208
196	6.708518464
197	6.694397974
198	6.685983301
199	6.67960454
200	6.672636781
201	6.663462701
202	6.65083082
203	6.642084355
204	6.636355333
205	6.627399758
206	6.613463178
207	6.606139205
208	6.59451173
209	6.584154864
210	6.574371967
211	6.560915038
212	6.543089987
213	6.525273774
214	6.517648124
215	6.507283739
216	6.499458387
217	6.492937875
218	6.484878639
219	6.475206945
220	6.468295859
221	6.456255415
222	6.447537223
223	6.442134386
224	6.428944248
225	6.414303787
226	6.3995049
227	6.395230599
228	6.387437455
229	6.376563551
230	6.366892107
231	6.355987817
232	6.344991085
233	6.330893869
234	6.326516883
235	6.318984817
236	6.311703401
237	6.296046302
238	6.288173644
239	6.278756022
240	6.271533243
241	6.264651694
242	6.256299768
243	6.247160587
244	6.239803672
245	6.23330861
246	6.224496292
247	6.211282195
248	6.199338513
249	6.191686488
250	6.183706932
251	6.179585253
252	6.17301987
253	6.167460131
254	6.159675804
255	6.150516798
256	6.144330966
257	6.138629845
258	6.131505058
259	6.122477755
260	6.11737197
261	6.105627342
262	6.096253749
263	6.084565925
264	6.07746546
265	6.072912002
266	6.066988651
267	6.06297154
268	6.056218679
269	6.052748768
270	6.044837363
271	6.04081089
272	6.036105632
273	6.030350695
274	6.019808366
275	6.015113001
276	6.008314334
277	6.000350525
278	5.995979098
279	5.990240112
280	5.985794062
281	5.982366197
282	5.971548316
283	5.964739121
284	5.956695455
285	5.944626152
286	5.940228251
287	5.933701407
288	5.928722672
289	5.923325537
290	5.915553926
291	5.911383123
292	5.907519132
293	5.901515843
294	5.896763477
295	5.892887668
296	5.879631564
297	5.874971934
298	5.870062127
299	5.865610951
300	5.860396067
301	5.853834866
302	5.847856755
303	5.838498915
304	5.833566914
305	5.826678149
306	5.82084296
307	5.815827755
308	5.805675517
309	5.801984795
310	5.792599873
311	5.788316081
312	5.78451206
313	5.774316309
314	5.767155045
315	5.76266626
316	5.756767924
317	5.751360227
318	5.749098663
319	5.741700292
320	5.73753843
321	5.731993039
322	5.724429743
323	5.719780028
324	5.714426922
325	5.703828562
326	5.697618976
327	5.69149127
328	5.686422231
329	5.678041493
330	5.675203225
331	5.669414136
332	5.657269219
333	5.650485048
334	5.644875613
335	5.641705579
336	5.638052444
337	5.633335173
338	5.627654556
339	5.622766646
340	5.618594508
341	5.613742684
342	5.606428828
343	5.603465818
344	5.600235768
345	5.59672826
346	5.592132223
347	5.586808412
348	5.582385959
349	5.577806866
350	5.574033094
351	5.571100039
352	5.566758712
353	5.564583317
354	5.558514799
355	5.552083576
356	5.549332892
357	5.545465141
358	5.541505334
359	5.538516326
360	5.532171332
361	5.527454286
362	5.521653975
363	5.518229328
364	5.513447895
365	5.51043338
366	5.506896568
367	5.503786763
368	5.498083966
369	5.494027081
370	5.489250356
371	5.485333889
372	5.477713241
373	5.474728904
374	5.46420003
375	5.459909865
376	5.455224796
377	5.453544439
378	5.448789181
379	5.44682968
380	5.444785848
381	5.438903591
382	5.432547952
383	5.424724744
384	5.41738178
385	5.413240241
386	5.410644245
387	5.402836624
388	5.396005899
389	5.392349623
390	5.385442566
391	5.377019244
392	5.370247197
393	5.363441212
394	5.361083399
395	5.357022892
396	5.351253503
397	5.345144698
398	5.335110348
399	5.327623491
400	5.322759414
401	5.318891343
402	5.315454768
403	5.308756375
404	5.305982319
405	5.302156606
406	5.300004323
407	5.297091829
408	5.293174595
409	5.28897781
410	5.280498769
411	5.275121651
412	5.27015738
413	5.264797608
414	5.254829318
415	5.248149519
416	5.24218245
417	5.238615483
418	5.235644615
419	5.233743175
420	5.22718779
421	5.220949442
422	5.215447672
423	5.211959635
424	5.210108245
425	5.208601615
426	5.201662696
427	5.199533219
428	5.195180507
429	5.192739884
430	5.188947431
431	5.185455639
432	5.181551045
433	5.178562879
434	5.175161423
435	5.170296707
436	5.167273099
437	5.163172965
438	5.159334116
439	5.156380428
440	5.152971263
441	5.147170623
442	5.139637415
443	5.136108446
444	5.124695688
445	5.12165122
446	5.119561521
447	5.112726801
448	5.108207481
449	5.104786796
450	5.09845932
451	5.093460964
452	5.086953602
453	5.084013377
454	5.082557677
455	5.078793773
456	5.07623576
457	5.069854864
458	5.062760444
459	5.058060313
460	5.054803169
461	5.049440473
462	5.040995011
463	5.037806962
464	5.029090682
465	5.027374023
466	5.021168683
467	5.016497231
468	5.012075783
469	5.008606405
470	5.005630915
471	5.002524789
472	5.001071912
473	4.995988344
474	4.993412688
475	4.990131014
476	4.987296307
477	4.984355469
478	4.980658135
479	4.976095713
480	4.969464852
481	4.96206059
482	4.960552321
483	4.955655008
484	4.954295993
485	4.952929367
486	4.949847955
487	4.947488394
488	4.94117009
489	4.935302773
490	4.931964096
491	4.926418083
492	4.923299557
493	4.917418372
494	4.913219076
495	4.908781414
496	4.904962878
497	4.902777275
498	4.899849353
499	4.89401236
