iter	Passed	Remaining
0	146	145956
1	148	74109
2	151	50345
3	154	38393
4	155	31008
5	157	26070
6	158	22535
7	160	19866
8	161	17796
9	162	16128
10	164	14753
11	165	13610
12	166	12647
13	167	11828
14	169	11107
15	170	10495
16	171	9937
17	173	9440
18	174	8986
19	174	8570
20	175	8197
21	176	7853
22	177	7537
23	178	7245
24	178	6974
25	179	6724
26	180	6491
27	180	6273
28	181	6069
29	181	5877
30	182	5697
31	182	5527
32	183	5370
33	183	5225
34	184	5084
35	184	4948
36	185	4820
37	185	4700
38	186	4584
39	186	4472
40	186	4366
41	187	4265
42	187	4169
43	187	4076
44	187	3988
45	188	3903
46	188	3821
47	188	3743
48	189	3668
49	189	3596
50	189	3526
51	189	3459
52	190	3395
53	190	3333
54	190	3273
55	190	3216
56	191	3160
57	191	3106
58	191	3055
59	191	3006
60	192	2958
61	192	2911
62	192	2866
63	192	2822
64	193	2780
65	193	2738
66	193	2698
67	194	2660
68	194	2623
69	194	2586
70	194	2551
71	195	2516
72	195	2483
73	195	2450
74	196	2418
75	196	2386
76	196	2356
77	196	2327
78	197	2298
79	197	2270
80	197	2242
81	197	2215
82	198	2189
83	198	2163
84	198	2138
85	198	2113
86	199	2089
87	199	2065
88	199	2043
89	199	2020
90	200	1998
91	200	1977
92	200	1956
93	200	1935
94	201	1915
95	201	1895
96	201	1876
97	201	1857
98	202	1838
99	202	1820
100	202	1802
101	202	1785
102	203	1768
103	203	1751
104	203	1734
105	203	1718
106	203	1702
107	204	1686
108	204	1671
109	204	1656
110	204	1641
111	205	1627
112	205	1612
113	205	1598
114	205	1584
115	206	1571
116	206	1558
117	206	1545
118	207	1532
119	207	1519
120	207	1507
121	207	1494
122	207	1482
123	208	1470
124	208	1459
125	208	1447
126	208	1436
127	209	1425
128	209	1414
129	209	1403
130	210	1393
131	210	1382
132	210	1372
133	210	1362
134	211	1352
135	211	1342
136	211	1333
137	211	1323
138	212	1314
139	212	1305
140	212	1296
141	213	1287
142	213	1277
143	213	1269
144	213	1260
145	214	1251
146	214	1243
147	214	1234
148	214	1226
149	214	1218
150	215	1210
151	215	1202
152	215	1194
153	215	1186
154	216	1178
155	216	1171
156	216	1163
157	216	1156
158	217	1149
159	217	1141
160	217	1134
161	217	1127
162	218	1120
163	218	1113
164	218	1107
165	219	1100
166	219	1093
167	219	1087
168	219	1080
169	220	1074
170	220	1067
171	220	1061
172	220	1055
173	221	1049
174	221	1043
175	221	1037
176	221	1031
177	222	1025
178	222	1019
179	222	1013
180	222	1008
181	223	1002
182	223	997
183	223	991
184	223	986
185	224	981
186	224	976
187	224	971
188	225	966
189	225	961
190	225	956
191	226	951
192	226	946
193	226	941
194	226	936
195	227	931
196	227	926
197	227	921
198	227	917
199	228	912
200	228	907
201	228	903
202	228	898
203	229	894
204	229	889
205	229	885
206	229	880
207	230	876
208	230	872
209	230	868
210	231	864
211	231	860
212	231	856
213	232	852
214	232	848
215	232	844
216	232	840
217	233	836
218	233	832
219	233	828
220	234	825
221	234	821
222	234	817
223	235	814
224	235	810
225	235	806
226	235	803
227	236	799
228	236	796
229	236	792
230	237	789
231	237	785
232	237	782
233	237	779
234	238	775
235	238	772
236	238	768
237	239	765
238	239	762
239	239	759
240	239	755
241	240	752
242	240	749
243	240	745
244	240	742
245	241	739
246	241	736
247	241	733
248	242	729
249	242	726
250	242	723
251	242	720
252	243	717
253	243	714
254	243	711
255	243	708
256	244	705
257	244	702
258	244	700
259	244	697
260	245	694
261	245	691
262	245	688
263	246	685
264	246	683
265	246	680
266	246	677
267	247	674
268	247	672
269	247	669
270	247	667
271	248	664
272	248	661
273	248	659
274	249	656
275	249	653
276	249	651
277	249	648
278	250	646
279	250	643
280	250	641
281	250	638
282	251	636
283	251	633
284	251	631
285	252	629
286	252	626
287	252	624
288	253	622
289	253	620
290	253	618
291	254	615
292	254	613
293	254	611
294	254	608
295	255	606
296	255	604
297	255	602
298	255	599
299	256	597
300	256	595
301	256	593
302	256	591
303	257	588
304	257	586
305	257	584
306	257	582
307	258	580
308	258	577
309	258	575
310	258	573
311	259	571
312	259	569
313	259	567
314	259	565
315	260	563
316	260	561
317	260	558
318	260	556
319	261	554
320	261	552
321	261	550
322	261	548
323	262	546
324	262	544
325	262	542
326	262	540
327	263	538
328	263	536
329	263	534
330	263	533
331	263	531
332	264	529
333	264	527
334	264	525
335	264	523
336	265	521
337	265	519
338	265	518
339	265	516
340	266	514
341	266	512
342	266	510
343	266	509
344	267	507
345	267	505
346	267	503
347	267	502
348	268	500
349	268	498
350	268	496
351	268	495
352	269	493
353	269	491
354	269	490
355	269	488
356	270	486
357	270	484
358	270	483
359	270	481
360	271	479
361	271	478
362	271	476
363	271	475
364	272	473
365	272	471
366	272	470
367	272	468
