iter	Passed	Remaining
0	136	135864
1	137	68475
2	139	46199
3	141	35207
4	142	28301
5	142	23638
6	143	20300
7	143	17803
8	143	15850
9	144	14284
10	144	13013
11	145	11946
12	145	11047
13	145	10281
14	146	9611
15	146	9020
16	147	8501
17	147	8040
18	147	7626
19	148	7252
20	148	6911
21	148	6601
22	148	6318
23	149	6065
24	149	5831
25	149	5614
26	150	5411
27	150	5224
28	150	5049
29	151	4887
30	151	4735
31	151	4593
32	152	4462
33	152	4338
34	153	4222
35	153	4114
36	154	4009
37	154	3910
38	154	3815
39	155	3723
40	155	3634
41	155	3549
42	155	3469
43	156	3392
44	156	3318
45	156	3248
46	156	3180
47	157	3115
48	157	3053
49	157	2993
50	157	2936
51	158	2881
52	158	2828
53	158	2777
54	158	2728
55	159	2681
56	159	2636
57	159	2593
58	159	2551
59	160	2511
60	160	2472
61	160	2434
62	161	2399
63	161	2362
64	161	2328
65	162	2294
66	162	2261
67	162	2229
68	162	2198
69	163	2167
70	163	2138
71	163	2109
72	163	2080
73	164	2053
74	164	2027
75	164	2001
76	164	1975
77	165	1951
78	165	1927
79	165	1904
80	165	1881
81	166	1859
82	166	1838
83	166	1819
84	167	1799
85	167	1778
86	167	1759
87	167	1739
88	168	1720
89	168	1702
90	168	1684
91	168	1666
92	169	1649
93	169	1632
94	169	1615
95	169	1599
96	170	1583
97	170	1567
98	170	1552
99	170	1537
100	171	1522
101	171	1508
102	171	1494
103	171	1480
104	172	1466
105	172	1453
106	172	1440
107	172	1427
108	173	1414
109	173	1402
110	173	1390
111	173	1379
112	174	1367
113	174	1355
114	174	1344
115	174	1333
116	175	1322
117	175	1311
118	175	1300
119	175	1290
120	176	1279
121	176	1270
122	176	1260
123	177	1250
124	177	1241
125	177	1231
126	177	1222
127	178	1213
128	178	1204
129	178	1194
130	178	1186
131	179	1177
132	179	1168
133	179	1160
134	179	1152
135	180	1144
136	180	1136
137	180	1128
138	181	1121
139	181	1113
140	181	1106
141	181	1098
142	182	1090
143	182	1083
144	182	1076
145	182	1068
146	182	1061
147	183	1054
148	183	1047
149	183	1040
150	183	1034
151	184	1027
152	184	1020
153	184	1014
154	184	1007
155	185	1001
156	185	995
157	185	989
158	185	983
159	186	976
160	186	970
161	186	965
162	186	959
163	187	954
164	187	948
165	187	943
166	188	938
167	188	933
168	188	927
169	188	922
170	189	917
171	189	912
172	189	907
173	190	902
174	190	897
175	190	891
176	190	886
177	191	882
178	191	877
179	191	872
180	191	868
181	192	863
182	192	859
183	192	854
184	192	850
185	193	845
186	193	841
187	193	837
188	194	832
189	194	828
190	194	824
191	194	820
192	195	816
193	195	812
194	195	808
195	196	804
196	196	800
197	196	796
198	196	792
199	197	788
200	197	784
201	197	780
202	197	776
203	198	773
204	198	769
205	198	765
206	198	761
207	199	758
208	199	754
209	199	750
210	199	747
211	200	743
212	201	743
213	201	740
214	201	736
215	202	733
216	202	730
217	202	726
218	202	723
219	203	720
220	203	716
221	203	713
222	203	710
223	204	707
224	204	704
225	204	700
226	204	697
227	205	694
228	205	691
229	205	688
230	205	685
231	206	682
232	206	679
233	206	676
234	206	673
235	207	670
236	207	668
237	207	665
238	207	662
239	208	659
240	208	656
241	208	653
242	209	651
243	209	648
244	209	646
245	209	643
246	210	640
247	210	638
248	210	635
249	210	632
250	211	630
251	211	627
252	211	624
253	211	622
254	212	619
255	212	617
256	212	614
257	212	612
258	213	609
259	213	607
260	213	604
261	213	602
262	214	599
263	214	597
264	214	595
265	214	592
266	215	590
267	215	587
268	215	585
269	215	583
270	216	581
271	216	578
272	216	576
273	216	574
274	217	572
275	217	570
276	217	567
277	217	565
278	218	563
279	218	561
280	218	559
281	218	556
282	218	554
283	219	552
284	219	550
285	219	548
286	219	546
287	220	544
288	220	542
289	220	540
290	220	538
291	221	536
292	221	534
293	221	532
294	221	530
295	222	528
296	222	526
297	222	524
298	222	522
299	222	520
300	223	518
301	223	516
302	223	514
303	223	512
304	224	510
305	224	508
306	224	507
307	224	505
308	225	503
309	225	501
310	225	500
311	225	498
312	226	496
313	226	494
314	226	493
315	227	491
316	227	489
317	227	487
318	227	486
319	228	484
320	228	483
321	228	481
322	228	479
323	229	478
324	229	476
325	229	475
326	230	473
327	230	471
328	230	470
329	230	468
330	231	467
331	231	465
332	231	464
333	232	462
334	232	461
335	232	459
336	232	458
337	233	456
338	233	455
339	233	453
340	233	451
341	234	450
342	234	448
343	234	447
344	234	446
345	235	444
346	235	443
347	235	441
348	235	440
349	236	438
350	236	437
351	236	435
352	236	434
353	237	432
354	237	431
355	237	430
356	238	428
357	238	427
358	238	425
359	238	424
360	239	423
361	239	421
362	239	420
363	239	418
364	240	417
365	240	416
366	240	414
367	240	413
368	241	412
369	241	410
370	241	409
371	241	408
372	242	407
373	242	405
374	242	404
375	243	403
376	243	402
377	243	400
378	243	399
379	244	398
380	244	397
381	244	395
382	244	394
383	245	393
384	245	392
385	245	390
386	245	389
387	246	388
388	246	387
389	246	385
390	246	384
391	247	383
392	247	382
393	247	380
394	247	379
395	248	378
396	248	377
397	248	375
398	248	374
399	248	373
400	249	372
401	249	371
402	249	369
403	250	368
404	250	367
405	250	366
406	250	365
407	251	364
408	251	363
409	251	362
410	251	361
411	252	360
412	252	358
413	252	357
414	253	356
415	253	355
416	253	354
417	253	353
418	254	352
419	254	351
420	254	350
421	254	348
422	255	347
423	255	346
424	255	345
425	255	344
426	256	343
427	256	342
428	256	341
429	256	340
430	257	339
431	257	338
432	257	337
433	257	336
434	258	335
435	258	334
436	258	333
437	258	332
438	259	331
439	259	330
440	259	329
441	259	328
442	260	327
443	260	326
444	260	325
445	260	324
446	261	323
447	261	322
448	261	321
449	261	320
450	262	319
451	262	318
452	262	317
453	262	316
454	263	315
455	263	314
456	263	313
457	263	312
458	263	311
459	264	310
460	264	309
461	264	308
462	264	307
463	265	306
464	265	305
465	265	304
466	266	303
467	266	302
468	266	301
469	266	300
470	267	299
471	267	299
472	267	298
473	267	297
474	268	296
475	268	295
476	268	294
477	268	293
478	269	292
479	269	291
480	269	290
481	269	290
482	270	289
483	270	288
484	270	287
485	270	286
486	271	285
487	271	284
488	271	283
489	271	282
